Time          Current        Charge         Voltage
  1.0000      0.994880       0.000000         0.000000
  1.1000      0.998771       0.099751         3.990056
  1.2000      0.995171       0.199505         7.980194
  1.3000      0.985464       0.298582        11.943294
  1.4000      0.970821       0.396433        15.857336
  1.5000      0.952238       0.492616        19.704620
  1.6000      0.930554       0.586778        23.471117
  1.7000      0.906480       0.678647        27.145872
  1.8000      0.880611       0.768014        30.720568
  1.9000      0.853449       0.854726        34.189041
  2.0000      0.825413       0.938675        37.546997
  2.1000      0.796852       1.019791        40.791645
  2.2000      0.768055       1.098037        43.921486
  2.3000      0.739260       1.173402        46.936089
  2.4000      0.710662       1.245896        49.835835
  2.5000      0.682421       1.315546        52.621857
  2.6000      0.654663       1.382396        55.295830
  2.7000      0.627490       1.446498        57.859936
  2.8000      0.600979       1.507916        60.316639
  2.9000      0.575191       1.566718        62.668713
  3.0000      0.550171       1.622979        64.919174
  3.1000      0.525948       1.676779        67.071152
  3.2000      0.502543       1.728196        69.127853
  3.3000      0.479967       1.777315        71.092606
  3.4000      0.458223       1.824218        72.968704
  3.5000      0.437307       1.868987        74.759483
  3.6000      0.417212       1.911706        76.468246
  3.7000      0.397925       1.952456        78.098259
  3.8000      0.379431       1.991318        79.652702
  3.9000      0.361712       2.028368        81.134735
  4.0000      0.344748       2.063685        82.547394
  4.1000      0.328516       2.097342        83.893677
  4.2000      0.312996       2.129412        85.176483
  4.3000      0.298162       2.159964        86.398552
  4.4000      0.283992       2.189066        87.562653
  4.5000      0.270461       2.216784        88.671349
  4.6000      0.257545       2.243179        89.727165
  4.7000      0.245221       2.268312        90.732498
  4.8000      0.233466       2.292243        91.689697
  4.9000      0.222255       2.315024        92.600945
  5.0000      0.211566       2.336710        93.468414
  5.1000      0.201378       2.357354        94.294159
  5.2000      0.191668       2.377002        95.080070
  5.3000      0.182417       2.395702        95.828094
  5.4000      0.173603       2.413500        96.540001
  5.5000      0.165208       2.430437        97.217484
  5.6000      0.157212       2.446555        97.862183
  5.7000      0.149597       2.461892        98.475693
  5.8000      0.142347       2.476486        99.059448
  5.9000      0.135444       2.490373        99.614914
  6.0000      0.128872       2.503586       100.143433
  6.1000      0.122616       2.516158       100.646301
  6.2000      0.116660       2.528119       101.124763
  6.3000      0.110992       2.539500       101.580002
  6.4000      0.105598       2.550327       102.013069
  6.5000      0.100464       2.560627       102.425095
  6.6000      0.095578       2.570427       102.817093
  6.7000      0.090928       2.579751       103.190056
  6.8000      0.086504       2.588621       103.544846
  6.9000      0.082293       2.597059       103.882347
  7.0000      0.078287       2.605086       104.203453
  7.1000      0.074476       2.612722       104.508896
  7.2000      0.070849       2.619988       104.799507
  7.3000      0.067399       2.626898       105.075928
  7.4000      0.064116       2.633473       105.338905
  7.5000      0.060992       2.639727       105.589081
  7.6000      0.058021       2.645676       105.827057
  7.7000      0.055194       2.651336       106.053429
  7.8000      0.052504       2.656720       106.268784
  7.9000      0.049945       2.661841       106.473625
  8.0000      0.047511       2.666713       106.668503
  8.1000      0.045195       2.671347       106.853874
  8.2000      0.042992       2.675756       107.030235
  8.3000      0.040897       2.679949       107.197952
  8.4000      0.038903       2.683938       107.357521
  8.5000      0.037007       2.687733       107.509315
  8.6000      0.035202       2.691342       107.653694
  8.7000      0.033486       2.694777       107.791061
  8.8000      0.031854       2.698043       107.921722
  8.9000      0.030300       2.701150       108.045998
  9.0000      0.028823       2.704106       108.164223
  9.1000      0.027418       2.706917       108.276665
  9.2000      0.026081       2.709591       108.383652
  9.3000      0.024809       2.712135       108.485390
  9.4000      0.023599       2.714555       108.582199
  9.5000      0.022448       2.716857       108.674278
  9.6000      0.021354       2.719047       108.761871
  9.7000      0.020312       2.721129       108.845177
  9.8000      0.019322       2.723110       108.924416
  9.9000      0.018380       2.724995       108.999802
 10.0000      0.017483       2.726789       109.071541
 10.1000      0.016631       2.728493       109.139740
 10.2000      0.015820       2.730115       109.204613
 10.3000      0.015048       2.731659       109.266350
 10.4000      0.014314       2.733127       109.325066
 10.5000      0.013616       2.734522       109.380890
 10.6000      0.012952       2.735851       109.434052
 10.7000      0.012321       2.737114       109.484558
 10.8000      0.011720       2.738316       109.532639
 10.9000      0.011148       2.739459       109.578369
 11.0000      0.010604       2.740546       109.621849
 11.1000      0.010087       2.741581       109.663246
 11.2000      0.009595       2.742564       109.702576
 11.3000      0.009127       2.743501       109.740028
 11.4000      0.008682       2.744390       109.775620
 11.5000      0.008259       2.745238       109.809502
 11.6000      0.007856       2.746044       109.841743
 11.7000      0.007473       2.746809       109.872375
 11.8000      0.007108       2.747538       109.901520
 11.9000      0.006762       2.748231       109.929253
 12.0000      0.006432       2.748891       109.955650
 12.1000      0.006118       2.749519       109.980743
 12.2000      0.005820       2.750116       110.004631
 12.3000      0.005536       2.750683       110.027306
 12.4000      0.005266       2.751223       110.048904
 12.5000      0.005009       2.751736       110.069427
 12.6000      0.004765       2.752225       110.089005
 12.7000      0.004533       2.752690       110.107582
 12.8000      0.004312       2.753131       110.125244
 12.9000      0.004101       2.753552       110.142097
 13.0000      0.003901       2.753953       110.158096
 13.1000      0.003711       2.754333       110.173317
 13.2000      0.003530       2.754694       110.187775
 13.3000      0.003358       2.755039       110.201561
 13.4000      0.003194       2.755366       110.214630
 13.5000      0.003038       2.755678       110.227119
 13.6000      0.002890       2.755974       110.238968
 13.7000      0.002749       2.756256       110.250237
 13.8000      0.002615       2.756523       110.260933
 13.9000      0.002488       2.756780       110.271187
 14.0000      0.002366       2.757021       110.280853
 14.1000      0.002251       2.757252       110.290062
 14.2000      0.002141       2.757472       110.298874
 14.3000      0.002037       2.757680       110.307213
 14.4000      0.001937       2.757879       110.315170
 14.5000      0.001843       2.758068       110.322716
 14.6000      0.001753       2.758248       110.329903
 14.7000      0.001667       2.758419       110.336739
 14.8000      0.001586       2.758581       110.343239
 14.9000      0.001509       2.758736       110.349426
 15.0000      0.001435       2.758883       110.355309
 15.1000      0.001365       2.759022       110.360878
 15.2000      0.001299       2.759155       110.366211
 15.3000      0.001235       2.759282       110.371292
 15.4000      0.001175       2.759402       110.376083
 15.5000      0.001118       2.759516       110.380661
 15.6000      0.001063       2.759626       110.385033
 15.7000      0.001011       2.759730       110.389191
 15.8000      0.000962       2.759827       110.393097
 15.9000      0.000915       2.759922       110.396881
 16.0000      0.000870       2.760011       110.400436
 16.1000      0.000828       2.760095       110.403816
 16.2000      0.000788       2.760176       110.407036
 16.3000      0.000749       2.760253       110.410133
 16.4000      0.000713       2.760326       110.413048
 16.5000      0.000678       2.760395       110.415802
 16.6000      0.000645       2.760461       110.418434
 16.7000      0.000613       2.760524       110.420952
 16.8000      0.000583       2.760584       110.423347
 16.9000      0.000555       2.760640       110.425583
 17.0000      0.000528       2.760694       110.427750
 17.1000      0.000502       2.760746       110.429848
 17.2000      0.000478       2.760794       110.431763
 17.3000      0.000454       2.760841       110.433632
 17.4000      0.000432       2.760885       110.435402
 17.5000      0.000411       2.760927       110.437065
 17.6000      0.000391       2.760967       110.438660
 17.7000      0.000372       2.761005       110.440193
 17.8000      0.000354       2.761041       110.441658
 17.9000      0.000337       2.761075       110.443016
 18.0000      0.000320       2.761108       110.444328
 18.1000      0.000305       2.761139       110.445572
 18.2000      0.000290       2.761168       110.446732
 18.3000      0.000276       2.761197       110.447876
 18.4000      0.000262       2.761224       110.448944
 18.5000      0.000249       2.761248       110.449936
 18.6000      0.000237       2.761273       110.450912
 18.7000      0.000226       2.761296       110.451843
 18.8000      0.000215       2.761317       110.452698
 18.9000      0.000204       2.761338       110.453529
 19.0000      0.000194       2.761358       110.454308
 19.1000      0.000185       2.761377       110.455070
 19.2000      0.000176       2.761395       110.455788
 19.3000      0.000167       2.761411       110.456459
 19.4000      0.000159       2.761428       110.457108
 19.5000      0.000151       2.761443       110.457726
 19.6000      0.000144       2.761457       110.458290
 19.7000      0.000137       2.761471       110.458824
