       X                Y             Y(est.)
   --------------------------------------------
   2.00000000       3.70000005       3.78583336    
   4.00000000       8.10000038       8.06595325    
   6.00000000       11.8999996       12.3460732    
   8.00000000       17.2000008       16.6261921    
   10.0000000       21.0300007       20.9063110    
   12.0000000       25.1000004       25.1864319    
   14.0000000       29.6000004       29.4665508    
   16.0000000       33.5000000       33.7466698    

 A =    2.14005971    
 B =  -0.494285941    
